OBJECTID,Guid,GlobalID,Comments,CreationDate,EditDate,EXTRACTIVE SURVEY ,"If RECALL, date",What type of fishing did you do at this site?,"If OTHER, fishing type",Did you use a bait or lure?,What time did you (if spearfishing)/ your lines get in the water? ,What time did you (if spearfishing)/your lines get out the water??,Max depth of hook at this site?,# fish you kept undamaged at this site?,"If OTHER, # kept undamaged",# released undamaged at this site?,"If OTHER, # released undamaged",# depredated,"If OTHER, # depredated",What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,"If RECALL, date",What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth ",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?,"If OTHER, why did you leave this site?",x,y
271,b3c94643-a932-4d71-b5db-950ac2a0eea9,f64c8182-aeeb-4d5d-bb21-ab52df9b077d,,10/02/20 03:02,10/02/20 03:02,,,,,,,,,,,,,,,,,,,,Relaxing,,11,3,,Access,Sheltered good for kids,,,113.8399988,-22.23784436
272,b3c94643-a932-4d71-b5db-950ac2a0eea9,e2e8adcf-1ca3-45a5-a879-d15baced5196,,10/02/20 03:03,10/02/20 03:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.8396203,-22.23793778
273,e0c0efcd-5b11-48dc-8f7f-ab467c9ab517,ee45e9e1-c0a0-4089-bbb2-a8ba747763cb,,10/02/20 03:13,10/02/20 03:13,,,,,,,,,,,,,,,,,,Turquoise bay,,Snorkling,,10,2.3,,Weather,,EndOfDay,Went to camp kids tired,113.8401754,-22.23655985
274,e0c0efcd-5b11-48dc-8f7f-ab467c9ab517,8be52594-5f1d-4430-ad73-bb4702737525,,10/02/20 03:14,10/02/20 03:14,,,,,,,,,,,,,,,,,,,,Relaxing,,10.45,12.3,,Access,,Other,Go make lunch at camp,113.8402821,-22.23852826
275,9f11f64d-60f3-4efa-9291-b74665538a9c,ab09249d-8398-4c8b-a3fe-a217ee3b9406,,10/02/20 03:25,10/02/20 03:25,,,,,,,,,,,,,,,,,,Turquoise bay,,Snorkling,,10,11.15,,Biodiveristy,,Other,Back to camp,113.8394678,-22.23830916
276,9f11f64d-60f3-4efa-9291-b74665538a9c,48e58452-ff14-4bd0-9a22-d7af7cfab1e8,,10/02/20 03:27,10/02/20 03:27,,,,,,,,,,,,,,,,,,,,Relaxing,,11,11.45,,Other,Turtles,,,113.839731,-22.23791775
277,b2ce3c74-2c8f-4d26-8780-b78d5a7e4f61,5bce9440-c720-49e6-95fe-c365f74e54c7,,10/02/20 03:32,10/02/20 03:32,,,,,,,,,,,,,,,,,,Oyster stacks,,Snorkling,,10,2.3,,Other,,Other,Feed kids,113.8409297,-22.23857922
278,b2ce3c74-2c8f-4d26-8780-b78d5a7e4f61,836b9ccf-eeff-4de1-82ae-f37da5c2bad3,,10/02/20 03:35,10/02/20 03:35,,,,,,,,,,,,,,,,,,,,Snorkling,,10,12.3,,Weather,,Other,Lunch ,113.8398462,-22.237491
279,bdf387d8-3ee0-49aa-b61c-a408986c83d9,85a844e4-5766-43e6-9de3-5d8acf82f00e,,10/02/20 04:08,10/02/20 04:08,,,,,,,,,,,,,,,,,,Janz,,Surfing,,9,6.3,,Other,,EndOfDay,,113.8426125,-22.23149495
280,bdf387d8-3ee0-49aa-b61c-a408986c83d9,a215ec93-f6ce-4953-8256-f73feec49a5c,,10/02/20 04:11,10/02/20 04:11,,,,,,,,,,,,,,,,,,,,Kite surfing ,,9.3,14,,Other,Kitesurfing and kid friendly,ActivityChange ,,113.8430276,-22.23152691
281,8cb7aa31-e5dd-4bbf-b7cf-ec073fc260a9,61c7d848-badb-4932-8cf2-56be38a8b289,,10/02/20 04:31,10/02/20 04:31,,,,,,,,,,,,,,,,,,,,Relaxing,,8,14,,Other,Sandy Bay,ActivityChange ,,113.8431368,-22.231722
282,a62a93cc-8a53-446f-8388-6d6cd207483d,6ac1ea8d-f9a7-4d5d-8eaa-9d0308221b7d,,10/02/20 04:44,10/02/20 04:44,,,Casting,,Lure,6.3,7.3,3,0,3,,,0,,Spangled emperor,ActivityChange,,,,,,,,,,,Other,Close to home,113.8407854,-22.23714192
283,a62a93cc-8a53-446f-8388-6d6cd207483d,3fcb3a89-9189-40b7-bcee-2524e44d79ec,,10/02/20 04:45,10/02/20 04:45,,,,,,,,,,,,,,,,,,,,Snorkling,,9,9.45,,Other,Camp close,ActivityChange ,,113.840163,-22.23714192
284,a62a93cc-8a53-446f-8388-6d6cd207483d,942144aa-a4c8-4239-84da-39d35ed5ddb4,,10/02/20 04:46,10/02/20 04:46,,,,,,,,,,,,,,,,,,,,Kite surfing ,,1,3,,Weather,,Other,,113.841915,-22.23152995
285,2d564f57-dab2-4176-a6f2-362d533288b1,3714dbbc-24b6-407f-9982-689d649addf8,,10/02/20 07:39,10/02/20 07:39,,,,,,,,,,,,,,,,,,,,Walking,,8,10,,Other,Near campsite,ActivityChange ,,113.8422656,-22.23166602
286,2d564f57-dab2-4176-a6f2-362d533288b1,46fa2cdf-3adb-4ceb-a2e8-f47aafb240f4,,10/02/20 07:39,10/02/20 07:39,,,,,,,,,,,,,,,,,,,,Kite surfing ,,12,2,,Other,Proximity to camp,Other,Needed beer,113.8424452,-22.231722
287,2d564f57-dab2-4176-a6f2-362d533288b1,78572b31-91f7-49f6-9231-dbdc16546e35,,10/02/20 07:41,10/02/20 07:41,,,Casting,,Lure,6,7,1,,,2,,,,Cod,End of day,,,,,,,,,,,,,113.8431368,-22.23170066
288,25e3ff4e-b3d6-4eb1-bb8b-e34a2b2793ef,837ce344-9da9-45a5-9ec3-5d5b8978233b,,10/02/20 07:46,10/02/20 07:46,,,,,,,,,,,,,,,,,,,,Walking,,8,10,,Other,Near camp,ActivityChange ,,113.8412793,-22.23183178
289,25e3ff4e-b3d6-4eb1-bb8b-e34a2b2793ef,2fe5680a-e061-42f1-9792-49db102c42ba,,10/02/20 07:50,10/02/20 07:50,,,,,,,,,,,,,,,,,,,,Relaxing,,11,3,,Other,Near camp,Other,Go to town for supplies,113.8420631,-22.23195982
290,1e71f84f-32ec-41a1-8f05-38f2c1c55a7d,2320814e-efa7-405c-b061-33676deaaa6a,,10/02/20 09:38,10/02/20 09:38,,,,,,,,,,,,,,,,,,,,Kite surfing ,,11,17.3,,Other,Because I like to send it,EndOfDay,,113.8423858,-22.23219454
291,1e71f84f-32ec-41a1-8f05-38f2c1c55a7d,c83a858c-2201-4ffe-a70f-14bdcf5cc349,,10/02/20 09:40,10/02/20 09:40,,,,,,,,,,,,,,,,,,Peak islands,,Snorkling,,1pm,2pm,7 to 1m,Biodiveristy,,Weather,,114.3513831,-21.62822549
292,1e71f84f-32ec-41a1-8f05-38f2c1c55a7d,11255431-cccb-423a-87ae-c60b52c8b310,,10/02/20 09:43,10/02/20 09:43,,10/01/20 09:43,Demersal ,,Bait,7.3,12.3,25,7,,6,,2,,"Chinaman, red throat emperors, spangled, rock cod",ActivityChange,,,,,,,,,Biodiveristy,,,,114.6662644,-21.59721975
293,1e71f84f-32ec-41a1-8f05-38f2c1c55a7d,88814762-61b4-45f1-8fbb-86747ca18442,,10/02/20 09:44,10/02/20 09:44,,,,,,,,,,,,,,,,,,Graveyards,,Kite surfing ,,16.3,17.3,,Weather,Waves with surfboard,EndOfDay,,113.8427779,-22.23434822
294,40a7bf7a-7483-4ac5-973c-34d9cbea61a4,e7dc2a71-2ec9-4781-8968-90b2d8bdc889,,10/02/20 09:49,10/02/20 09:49,,,,,,,,,,,,,,,,,,Hunters ,,Surfing,,5.5,7,,Other,"Sheltered from wind, Bombie exposed",Weather,,113.8438733,-22.23216298
295,40a7bf7a-7483-4ac5-973c-34d9cbea61a4,31a63e11-c306-4c11-8d59-72e4c487f66a,,10/02/20 09:50,10/02/20 09:50,,,,,,,,,,,,,,,,,,,,Kite surfing ,,11,12.3,,Weather,,ActivityChange ,,113.8439912,-22.2308667
296,40a7bf7a-7483-4ac5-973c-34d9cbea61a4,2f48a83e-dae3-4ada-977a-239e601c2aee,,10/02/20 09:51,10/02/20 09:51,,,,,,,,,,,,,,,,,,,,Kite surfing ,,13,15,,Other,Waves ,,Exhausted,113.81388,-22.31966695
297,e431a863-4bf3-4d6b-af17-3b6e474ccf83,0bc5eb06-91b5-40c8-a875-b40c1e3f53bc,,10/03/20 07:51,10/03/20 07:51,,,,,,,,,,,,,,,,,,Oyster stacks,,Snorkling,,9.3,11,,Weather,Safer,ActivityChange ,,113.8742042,-22.1417988
298,e431a863-4bf3-4d6b-af17-3b6e474ccf83,98fedf7b-e2e6-4864-85d7-00c8b38b266f,,10/03/20 07:51,10/03/20 07:51,,,,,,,,,,,,,,,,,,Milyering visitor centre ,,Other,,,,,Other,,,,113.9206928,-22.02512892
299,ec2c0c70-447a-496e-a0a2-40db18cc97c9,cdc56b66-da19-4fff-9caf-8d4a7e1e70e5,,10/03/20 09:02,10/03/20 09:02,,,,,,,,,,,,,,,,,,,,Snorkling,,15,17,,Biodiveristy,,EndOfDay,,113.9214921,-22.02194879
300,954f8b74-4fd5-4abe-8f16-aa618caace00,29c55857-66a5-4c4f-be9c-304cb5a9063d,,10/03/20 09:08,10/03/20 09:08,,,,,,,,,,,,,,,,,,,,Snorkling,,16,17.05,,Biodiveristy,,EndOfDay,,113.9216501,-22.02236044
301,7caf0058-daa3-48a9-a9cc-4d7a818fc9f6,d07456b8-2a5a-4d48-aeed-1309caa6800b,,10/03/20 09:27,10/03/20 09:27,,,,,,,,,,,,,,,,,,,,Snorkling,,3,6,,Biodiveristy,,EndOfDay,,113.921855,-22.0221451
302,7caf0058-daa3-48a9-a9cc-4d7a818fc9f6,c0f2a849-a8f4-4777-858b-d235adef2649,,10/03/20 09:29,10/03/20 09:29,,,,,,,,,,,,,,,,,,Lakeside,,Snorkling,,12,12.45,,Biodiveristy,,Other,Too windy,113.9222851,-22.02279763
303,b17c5d59-b779-49b8-925c-9e3c0f29b213,77714b47-ff7d-4d49-aeab-3d8d894c638a,,10/04/20 03:05,10/04/20 03:05,,,,,,,,,,,,,,,,,,,,Other,Mountain biking to the beach to check weather. ,1030,Now,,Access,,Weather,,114.1094543,-21.80270125
304,51ce9a18-70e3-43d2-85b0-3e879ca1a0d1,02f1fd52-ec9e-4074-b0bf-e86fe1b18e2d,,10/04/20 06:41,10/04/20 06:41,,,Casting,Casting w rods,Bait,1pm,,,2,,,,1,,Unsure,Other,HavenŠ—Èt left yet,,,,,,,,,,,,113.9152063,-22.03413572
305,a352d1a0-0ab9-4c8e-b9b1-06e24b452998,bcb5ab33-0d75-4e2f-bc11-c93264955616,,10/04/20 06:48,10/04/20 06:48,,,,,,,,,,,,,,,,,,,,Relaxing,,12,,,NaturalSurroundings,,,,113.913991,-22.03500745
306,84f54ea7-28fa-47e8-a1b6-1281c901c02c,782962dd-29d5-4fe1-b656-29930bba3b45,,10/04/20 06:57,10/04/20 06:57,,,,,,,,,,,,,,,,,,,,Relaxing,,9am,,,NaturalSurroundings,,,,113.9138463,-22.0345917
307,f1b476ed-0df9-4162-b4b2-72c746302826,9a9b193d-4c54-43ef-8d3c-246be86261f8,,9/27/2020 4:17:38 AM,9/27/2020 4:25:10 AM,,9/27/2020 4:17:27 AM,Demersal ,,Bait,10am,,2m,8,,,,0,,Brim and blue bone and trevally,,,,,,,,,,,,,,114.11473,-22.0409017
308,,e4ba91d9-d60a-4d16-9da9-31b8839e0709,,9/27/2020 7:08:03 AM,9/27/2020 7:08:03 AM,,,Demersal ,,Bait,11am,2pm,40m,8,,,,2,,Snapper and coral trout,Weather,,,,,,,,,,,,,113.6974408,-23.11230482
309,706f2244-30f9-48f5-9bf0-9c5ebf9d8766,d9bc6846-bf7b-453d-bd3e-54440914f3c5,,9/27/2020 7:13:24 AM,9/27/2020 7:13:24 AM,,,,Trollinh,,,,,,,,,,,,,,,,,,,,,,,,,114.0981801,-22.21226047
310,4498ea11-0aa9-4cd5-9244-fb65f2b39ae1,c5a1f5b1-ee3e-4242-925c-b141290d019e,,9/27/2020 7:31:52 AM,9/27/2020 7:31:52 AM,They trawled today but only because they were just visiting friends on another boat. ,,Trolling,,Lure,12,1220,Surface ,0,,0,,0,,Bad through back,Weather,,,,,,,,,,,,,113.7506492,-23.17168566
311,4b05ece9-6cb8-43af-a38d-9a5a6b6664fd,7008d806-f10e-49cc-b866-1e3ec6848b2e,,9/27/2020 7:42:32 AM,9/27/2020 7:45:44 AM,,,,,,,,,,,,,,,,,,"Family day boating, no fishing today",,Other,Relaxing and swimming,2pm,3pm,,Other,Random ,Weather,,113.717492,-23.07064568
312,c0339972-7cff-40a3-a2f5-d37a19a72cfb,0bc7549e-9179-4c2a-a4f0-a30a5d6dfab2,,9/27/2020 7:50:27 AM,9/27/2020 7:50:27 AM,,,Demersal ,,,1,130,40,4,,1,,1,,"Snapper, trout and a blowfish ",Other,Change of site,,,,,,,,,,,,113.7884303,-23.1523516
313,aa5c7637-8858-4c26-a144-61b50d398c5c,e297a308-bf39-4df3-98c1-d08471019dc7,,9/28/2020 3:10:38 AM,9/28/2020 3:10:38 AM,,,Casting,,Bait,10am,13,,2,,1,,,,Blowly,,,,,,,,,,,,,,113.8146539,-23.0773421
314,0fa56d0d-7bdd-4721-a6b1-5c94ba8e6e28,38d03f86-7888-4a85-ab4c-65ac7cdf0614,,9/28/2020 3:19:14 AM,9/28/2020 3:19:14 AM,,,Casting,,Lure,10.3,12.3,,0,,,,,,,Weather,,,,,,,,,,,,,113.7684932,-23.15331666
315,5c008e02-fda3-495f-887a-9c97d085387f,38802e68-d396-4bb6-8367-51555c975d63,,9/28/2020 3:26:12 AM,9/28/2020 3:26:12 AM,,,Casting,,Bait,11.15,14,,,,,,,,,,,,,,,,,,Other,Fishing,,,113.7701026,-23.14215313
316,1a805ce7-b339-45e2-b3ee-5b5e2df82ef6,1d162436-1956-430b-8f58-fee0116e94a1,,9/28/2020 4:32:40 AM,9/28/2020 4:32:40 AM,,,,,,,,,,,,,,,,,,,,Snorkling,Relaxing,10am,3pm,,Access,,EndOfDay,,113.769354,-23.14219144
317,b06c12ce-d6e7-4317-b741-f09c2c6d9ffa,35e4d4a4-8d9b-433d-86a1-ff3df5b16d25,,9/28/2020 4:37:27 AM,9/28/2020 4:37:27 AM,,,,,,,,,,,,,,,,,,,,Relaxing,Drinking lots,11am,6pm,,Access,,EndOfDay,,113.7698544,-23.14212645
318,247e9e11-cae7-4542-a4e5-dd4095e0ec08,bbdb51da-6435-4b69-b46b-c2fbb4d2a7f3,,9/29/2020 7:56:16 AM,9/29/2020 8:04:12 AM,Oil rigs = location?,,Casting,,Bait,10,16,10,10,,4,4,1,,"Red emperor, Kobe, golbands",End of day,,,,,,,,,,,,,114.1701968,-21.83455713
319,7ff1e122-ecbc-4939-b848-ff41a9047491,7c3b0e9f-76ef-42d7-b7d4-e8b3a1b5a3c6,,9/29/2020 8:09:09 AM,9/29/2020 8:09:09 AM,,,,,Bait,11,16,56,5,,2,,2,,"Kobe, trevally, northwest",Weather,,,,,,,,,Weather,,,,114.1914045,-21.82667314
320,598be3c6-1701-43d3-8700-822636d4df12,e02865a9-0896-413e-9191-d4744939dd57,,9/29/2020 8:16:32 AM,9/29/2020 8:16:32 AM,,,Demersal ,,Bait,12,16.15,40,4,,2,,6,,"Spangled, stripes perch, bream",End of day,Sharks,,,,,,,,,,,,114.1409117,-21.78239812
321,35b6ab6a-0051-4846-ac8e-19d68b90544c,8c04355c-ef89-456a-8cc4-dc217ffaa368,,9/29/2020 8:33:41 AM,9/29/2020 8:37:50 AM,DoesnŠ—Èt fish deeper than 16m because of sharks,,Demersal ,,Bait,12,4.3,16,3,,0,,12,,"Spangled emperor, spainish mackrel, spainish emperor",End of day,,,,,,,,,,,,,114.1233108,-21.77886402
322,834febc8-90c8-4031-9e6c-1d4f2da939fa,dec49490-1cb9-4c23-91d8-6a168d62c600,,9/29/2020 8:51:44 AM,9/29/2020 8:51:44 AM,,,Casting,,Bait,11am,5pm,16,1,,1,,1,,Spangled emperor,End of day,,,,,,,,,,,,,114.1988922,-21.82847816
323,5cda63ef-f324-4473-82a5-fb32b39ba33a,f0370b5e-9fb6-408f-9340-922cf3cd1adf,,9/29/2020 8:57:12 AM,9/29/2020 8:57:12 AM,,,,,Bait,12,5,30,,,,,0,,Rock cod,End of day,,,,,,,,,,,,,114.2112002,-21.8024295
324,5cda63ef-f324-4473-82a5-fb32b39ba33a,13061df1-be4e-4399-beae-506315a04428,,9/29/2020 8:57:29 AM,9/29/2020 8:57:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1774871,-21.83837477
325,cc4c29f3-b10f-4e19-9d0a-0b2c3dcb5f23,96505b85-9eb0-4d2c-9bf4-9b8ea23d36fc,,9/29/2020 9:02:43 AM,9/29/2020 9:06:30 AM,,,Spearing,,,16,17,,0,,0,,,,,End of day,,,,Diving,,,,,,,,,114.1875278,-21.80291716
326,8b37bfb1-9db2-4a5b-aa84-d57f17911320,006a1268-91e7-4fd8-9fd4-001914910c7b,,9/29/2020 9:12:06 AM,9/29/2020 9:12:06 AM,,,Demersal ,,Bait,12,17,21,8,,2,,4,,"Chinamen cod, sweet lips",End of day,,,,,,,,,,,,,114.2315827,-21.75760552
327,1d31b805-b940-46b3-a64a-76df0a58467c,c8098d02-1e44-4a47-88ea-215d9b830999,,9/29/2020 9:27:20 AM,9/29/2020 9:27:20 AM,,,,,,,,,,,,,,,,,,,,Snorkling,,9.3,10.3,5,Biodiveristy,Sheltered,ActivityChange ,,114.0296086,-21.84709569
328,1d31b805-b940-46b3-a64a-76df0a58467c,77ef5c33-b238-4980-b710-14e5f1fd6744,,9/29/2020 9:29:02 AM,9/29/2020 9:29:02 AM,,,,,,,,,,,,,,,,,,,,,Skurfing,16,17.1,,Weather,,,,114.1992215,-21.83295828
329,57abd81d-55d9-466d-95f1-74194632b942,55e01e15-cde0-41ab-927f-7be59b0eed4f,,9/29/2020 9:38:45 AM,9/29/2020 9:38:45 AM,,,Demersal ,,Bait,2,17.4,,,,2,,1,,"Snappy, charlie",End of day,,,,,,,,,,,,,114.3216955,-21.69817215
330,57abd81d-55d9-466d-95f1-74194632b942,cedc3fa8-41e9-49e4-bde4-b79c870945e8,,9/29/2020 9:38:52 AM,9/29/2020 9:38:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1707303,-21.83576155
331,f12bb43a-2b7d-4554-b7c1-549702b71ec2,eacb2fcf-0b00-4b93-a88e-354b3e0ab668,,9/29/2020 9:46:42 AM,9/29/2020 9:52:15 AM,,,,,,,,,,,,,,,,,,,,Snorkling,,3,17.45,5,Biodiveristy,Loads of juvenile fish aggregating south of bundegi,EndOfDay,,114.1793482,-21.9747743
332,7254da1c-0d4f-4136-9c39-fe1f6f14bcc6,d88e5f97-1c50-4ddf-bc27-e7a05610f999,,9/29/2020 10:01:40 AM,9/29/2020 10:01:40 AM,,,Demersal ,,Bait,2.3,18,7,1,,3,,0,,Mangrove jack,,,,,,,,,,,,,,114.2163904,-21.85528461
333,0c014466-3795-448a-9bc6-f69ca281fa5a,8f5b5c9e-b0c7-420c-ad22-6e4bfed6d0e7,,9/30/2020 3:38:54 AM,9/30/2020 3:38:54 AM,,,,,,,,,,,,,,,,,,,,Walking,Yardue creek walk,9,10,,NaturalSurroundings,,ActivityChange ,,113.8428355,-22.23184441
334,0c014466-3795-448a-9bc6-f69ca281fa5a,d1885272-0696-435b-a6c6-1d9503da1015,,9/30/2020 3:41:08 AM,9/30/2020 3:41:08 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,11,1,,NaturalSurroundings,,ActivityChange ,,113.8425999,-22.23152948
335,6f57804f-2015-47b4-9922-283a8ef71042,9d114731-7617-402e-bfc4-80d1b35572d3,,9/30/2020 3:46:55 AM,9/30/2020 3:46:55 AM,,,,,,,,,,,,,,,,,,,,,,10,1,,Quiet,,ActivityChange ,,113.8418147,-22.23157727
336,6f57804f-2015-47b4-9922-283a8ef71042,34054e5b-00ec-4172-88f4-6790ada43280,,9/30/2020 3:47:50 AM,9/30/2020 3:47:50 AM,,,,,,,,,,,,,,,,,,Turquoise bay,,Snorkling,,1,3,,Biodiveristy,,,,113.8442879,-22.23086341
337,ef4c1e50-4e45-4f11-8918-e93a5365a4bf,9c1ec4dc-ecad-4f70-9312-56deeb72cf76,,9/30/2020 3:54:57 AM,9/30/2020 3:54:57 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,9.5,12.15,,NaturalSurroundings,,Other,Set up camp,113.8428847,-22.23164424
338,febdae93-bb82-45db-8133-70342c69bbd3,5c604122-9961-4e01-b31a-f89fc548c794,,9/30/2020 4:02:05 AM,9/30/2020 4:02:05 AM,,,,,,,,,,,,,,,,,,,,,,9.3,3,,,Wanted to do turquoise bay,EndOfDay,,113.8433296,-22.2317896
339,98129e26-31b1-4a11-9cbc-c9a52d8840a0,05109150-5604-43a2-9a55-31c66a5e4073,,9/30/2020 4:09:11 AM,9/30/2020 4:09:11 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,10,3,,Other,Not been before,ActivityChange ,,113.8435138,-22.23177299
340,fa265a67-4f35-4bea-b734-fdb090dffde8,2a55ba63-9967-469e-a663-176986416e9f,,9/30/2020 7:22:57 AM,9/30/2020 7:22:57 AM,,,,,,,,,,,,,,,,,,,,Surfing,,10,16,,Other,Good Surf,EndOfDay,,114.147157,-21.79662584
341,31b5003b-8eea-405f-a7d4-1b6d06312f77,55f87cb6-afba-4f07-a163-ba37250bbe05,,9/30/2020 7:29:21 AM,9/30/2020 7:29:21 AM,,,,,,,,,,,,,,,,,,,,Surfing,,13.3,16,,Other,"Rock pools for kids, surf",ActivityChange ,,114.1460261,-21.79716469
342,31b5003b-8eea-405f-a7d4-1b6d06312f77,44e4dcc4-d6d8-4f2c-8bb2-bc98cbd872a1,,9/30/2020 7:30:42 AM,9/30/2020 7:30:42 AM,,,,,,,,,,,,,,,,,,NedŠ—Ès campsite,,Relaxing,,10,12,,Weather,Proximity to campsite,ActivityChange ,,114.1454457,-21.79763445
343,02fa6fce-fc92-425a-9850-a7c12aa0733f,c3df889e-ce40-4e0e-a405-269f5fc9b007,,9/30/2020 8:19:16 AM,9/30/2020 8:19:16 AM,,,,,,,,,,,,,,,,,,Wobiri,,Surfing,,10,13,,Other,Good surf,ActivityChange ,,114.0488662,-21.83934875
344,02fa6fce-fc92-425a-9850-a7c12aa0733f,a562d304-0b40-44aa-b6a3-02d8bff831cd,,9/30/2020 8:20:32 AM,9/30/2020 8:20:32 AM,,,,,,,,,,,,,,,,,,,,Surfing,,14,18,,Other,Surf okay when sea breeze is up,EndOfDay,,114.0726413,-21.82708782
345,8096c1b7-5a8c-44f3-bd69-1506157c8819,4255a787-bf01-4c99-a6ed-6438e379f5a7,,9/30/2020 8:25:36 AM,9/30/2020 8:25:36 AM,,,,,,,,,,,,,,,,,,,,Surfing,,12,17,,Other,Surf,EndOfDay,,114.0718333,-21.82720322
346,92acdb9f-5efa-4df1-8b00-e23d32d33623,8e2be1f8-5346-400b-a636-67b86dbc6a39,,9/30/2020 8:57:57 AM,9/30/2020 8:57:57 AM,,,,,,,,,,,,,,,,,,Turquoise bay,,Snorkling,,12.3,14,,Biodiveristy,"Friends recommendation, familiarity",Other,To check out campsites,114.045326,-21.84216453
347,92acdb9f-5efa-4df1-8b00-e23d32d33623,7b954ed2-4a53-4c5a-9d48-03f9fe9dbad1,,9/30/2020 9:00:44 AM,9/30/2020 9:00:44 AM,,,,,,,,,,,,,,,,,,,,Relaxing,Megafauna,16.15,18,,Access,Swimming,EndOfDay,,114.0469701,-21.84278885
348,0193b1cb-3b58-44cb-979f-b79811755cdc,cce1ce2d-1789-4341-a5f5-ab38e9608cbe,,9/30/2020 9:16:51 AM,9/30/2020 9:16:51 AM,,,,,,,,,,,,,,,,,,Turquoise bay,,Snorkling,,12.3,14,,Biodiveristy,,ActivityChange ,,114.0289591,-21.84965623
349,0193b1cb-3b58-44cb-979f-b79811755cdc,8ee0baba-6974-4623-8893-e2ebb857ded2,,9/30/2020 9:17:54 AM,9/30/2020 9:17:54 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,16,18,,Weather,"Sunset, surf",EndOfDay,,114.0326211,-21.84833828
350,abb8b0b9-ce25-4ac3-90b7-d838cb083aca,f765c9e1-3496-46c8-90a2-548af5ca86ce,,9/30/2020 9:37:13 AM,9/30/2020 9:37:13 AM,,,,,,,,,,,,,,,,,,Turquoise bay ,,Snorkling,,11.3,13.3,,Weather,Biodiversity,ActivityChange ,,114.0324688,-21.84836504
351,abb8b0b9-ce25-4ac3-90b7-d838cb083aca,2d1cc8fb-6117-4dcd-ad6f-2a655f20e005,,9/30/2020 9:38:32 AM,9/30/2020 9:38:32 AM,,,,,,,,,,,,,,,,,,Wobirri,,Surfing,,16.3,18.3,,NaturalSurroundings,Surf,EndOfDay,,114.0320601,-21.84966586
352,6ca28078-09f1-4e21-9d9b-4a758368fe98,185f8264-3a3d-4d54-a011-34485bfa0bbd,,9/30/2020 9:49:53 AM,9/30/2020 9:49:53 AM,,,,,,,,,,,,,,,,,,Turquoise bay ,,Snorkling,,12,2,,Other,Familarity,ActivityChange ,,114.0314656,-21.84996549
353,6ca28078-09f1-4e21-9d9b-4a758368fe98,1256a175-a348-41dd-a418-05d3b4faf634,,9/30/2020 9:51:03 AM,9/30/2020 9:51:03 AM,,,,,,,,,,,,,,,,,,,,Surfing,,16.3,18.3,,Other,Surf,EndOfDay,,114.0309915,-21.85007807
354,3520db46-8b0d-46bb-b28b-c82be756a5f2,c7014b37-d60e-4fa0-83bc-7f1a81c3be79,,9/30/2020 9:58:49 AM,9/30/2020 9:58:49 AM,,,,,,,,,,,,,,,,,,,,Relaxing,,9,10,,Other,Surf,Other,Moving camp,114.0346364,-21.84993841
355,3520db46-8b0d-46bb-b28b-c82be756a5f2,0fd6ddc5-cd6d-4f8e-bb37-0d663455894d,,9/30/2020 10:00:25 AM,9/30/2020 10:00:25 AM,,,,,,,,,,,,,,,,,,,,,,16.2,18.15,,Other,Surf,ActivityChange ,,114.0309964,-21.84827775
356,9976a9ef-f4d7-420c-a68d-03377155314c,7e335926-51c0-42e7-a7f6-a71e6170f814,,10/01/20 08:01,10/01/20 08:01,,,,,,,,,,,,,,,,,,Steps next to dunes,,Surfing,,5.3,7.3,,Other,Quiet spot,Other,Work,114.1288267,-21.8061539
357,9976a9ef-f4d7-420c-a68d-03377155314c,4f486513-d30e-4eb7-b674-a8af81f5f9c7,,10/01/20 08:03,10/01/20 08:03,,,,,,,,,,,,,,,,,,,,Relaxing,Swimming,12,12.45,,Weather,,Other,Work,114.169341,-21.8351514
358,9976a9ef-f4d7-420c-a68d-03377155314c,f4f36439-00a8-4ead-a414-93554ac7f492,,10/01/20 08:06,10/01/20 08:06,,,Casting,,Bait,16,18,,,,,,,,,,,,,,,,,,,,EndOfDay,,114.153941,-21.79244015
359,f8ee5900-6a9e-49c6-a580-67f6cde69339,ba931f61-b9e7-43bb-be1f-70d967fcdeb5,,10/02/20 03:49,10/02/20 03:49,,,,,,,,,,,,,,,,,,,,Snorkling,,930,Some are still out,,Other,Reef,,Probably soon because of too much wind,113.8787088,-22.13257616
360,5a42dbff-99c0-4431-a020-b058852c0706,77eef0b7-daf1-4fd1-ae2a-4f84f3571de4,,10/02/20 03:58,10/02/20 03:58,,,,,,,,,,,,,,,,,,,,,,10,Havnt ,,Biodiveristy,,,,113.8789069,-22.12866115
361,68cb181a-a351-4d30-a5cb-2f7c16821603,5e5f4908-a6f2-49df-87a6-4fa99c3c1919,,10/02/20 04:05,10/02/20 04:05,,,,,,,,,,,,,,,,,,,,Snorkling,,10,Havnt,,Other,Stacks,,,113.8794352,-22.12982343
