OBJECTID,Have_you_been_interviewed_about_shark_bite_offs_before,How_many_times_have_you_fished_from_this_boat_ramp_before,How_many_days_have_you_fished_from_a_boat_this_year,How_many_years_have_you_been_fishing_for,Home_postcode,What_is_your_income_before_tax,Guid,GlobalID,CreationDate,Creator,EditDate,Editor,# times fished from boat in last 12 months?,# times doing NEX last 12 months??,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",FINISH SURVEY ,Male or Female,Describe party,Boat length,Boat Type ,Boat name or number
212,,,,,,,4bbc5c64-9b25-4f5d-ad09-489b7e99d9d6,a1cb95e5-4497-41b9-b92a-1ad70f32a505,9/28/2020 3:26:00 AM,Harrison.Carmody_UWA,9/28/2020 3:26:00 AM,Harrison.Carmody_UWA,,,,,,,1977,6171,CoralBay,,,Female,"3couples, 3 kids",,,
213,,,,,,,9bdb4c47-0264-43e1-8130-55bff84b91f3,8f6be314-aea0-4ab4-a639-2f4149df2688,9/28/2020 3:57:19 AM,Harrison.Carmody_UWA,9/28/2020 3:57:19 AM,Harrison.Carmody_UWA,,1 in a firnite ,,3 ,,,1974,6018,CoralBay,,,Male,1m,,,
214,,,,,,,92501a72-f96c-41e2-a0af-f51bdc806377,9d990f08-e717-440c-92a3-db07465bb301,9/28/2020 4:08:13 AM,Harrison.Carmody_UWA,9/28/2020 4:08:13 AM,Harrison.Carmody_UWA,1 fortnite,,33,,OW,,1987,6285,,Just stopped by on wat home fromexmouth,,Male,2m,4,F,
215,,,,,,,cb71a2b2-a310-4290-8920-7a5449182f37,e1e8a59f-1f46-4e73-993d-bf478590c564,9/28/2020 4:14:52 AM,Harrison.Carmody_UWA,9/28/2020 4:14:52 AM,Harrison.Carmody_UWA,60 -100,,4,,,,1981,6019,CoralBay,,,Male,4m,3,F,23399
216,,,,,,,0a8f0e94-8331-4ff6-aede-a2bfc3c3ed4c,16e5b4f1-be81-49f2-87b8-e51d7d5fc6a2,9/28/2020 4:44:09 AM,Harrison.Carmody_UWA,9/28/2020 4:44:33 AM,Harrison.Carmody_UWA,250 shore based ,,25,,OW,,,6701,CoralBay,,,Male,Couple 2 kids ,,,
217,,,,,,,3a87b94c-55ff-40ff-8a5d-6bb028888186,8a6628b5-587e-4426-9eef-ce0088b6e3d2,9/28/2020 8:53:32 AM,Harrison.Carmody_UWA,9/28/2020 8:53:32 AM,Harrison.Carmody_UWA,0,0,2 months,0,None,,1981,6014,ExmouthEscape,,,Male,Asian family,,,
218,,,,,,,999ef879-0b74-4e1d-9df2-076b6daf3b87,d02bdb22-1c31-41bd-9131-0a9ac250629c,9/30/2020 3:03:24 AM,Harrison.Carmody_UWA,9/30/2020 3:03:24 AM,Harrison.Carmody_UWA,Zero,,,,,,198,Rolleystone,YardieHomestead,,,Male,1 male,,,
219,,,,,,,e1a75beb-bec3-4859-9573-9bdab253cdce,944db555-586c-4802-b906-a1acb3bf1d2f,9/30/2020 3:15:06 AM,Harrison.Carmody_UWA,9/30/2020 3:15:06 AM,Harrison.Carmody_UWA,20,,20,,None,,1985,Palmyra,Exmouth,,,Male,2 guys,5,F,It’s in the excrractive column
220,,,,,,,ce66d0d5-4f54-4387-b73b-e3d686cf010e,3893e1c6-fbb0-4a49-adbd-d3dc47f6c7df,9/30/2020 3:39:22 AM,Harrison.Carmody_UWA,9/30/2020 3:39:22 AM,Harrison.Carmody_UWA,56,56,40,,,,1975,Rivervale,Exmouth,,,Female,"1 mum, 1 dad, 5 kids",3,C,
221,,,,,,,3603cbf6-e54d-41e0-965e-84da0c5345e3,429077b1-1ec5-4630-910e-4fec3aaf52bd,9/30/2020 4:17:20 AM,Harrison.Carmody_UWA,9/30/2020 4:17:20 AM,Harrison.Carmody_UWA,50 estimate,,20,,OW,Can’t remember around 20,1985,Armadale,Exmouth,,,Male,2 adult male and two kids,4,C,
222,,,,,,,8d53fa5e-2aac-4aab-8907-812accd6b81d,84b4c44d-3059-4996-b571-a24e5a174a99,9/30/2020 4:27:06 AM,Harrison.Carmody_UWA,9/30/2020 4:27:06 AM,Harrison.Carmody_UWA,2 a month,,15,,,,2001,Port kennedy,Exmouth,,,Male,19 yr old and his dad and their two dogs ,6,F,
223,,,,,,,4cb2733c-8666-405b-8c8d-ac99b7bfc190,8ea05aa1-9387-4052-9e8c-26d26b6f57a5,9/30/2020 7:30:03 AM,Harrison.Carmody_UWA,9/30/2020 7:30:03 AM,Harrison.Carmody_UWA,20,,Since born ,,None,Not a scuba diver just a free diver,1995,6018,Lighthouse,,,Female,Talking to one woman,4,C,
224,,,,,,,503fdd59-8234-41e3-88c7-c4bf28f97901,b21b56f5-7412-4fcf-9448-a616384d738f,9/30/2020 8:27:24 AM,Harrison.Carmody_UWA,9/30/2020 8:27:24 AM,Harrison.Carmody_UWA,10,,Life I guess,,,,1981,Greenwood,,,,Female,6 adults and 7 kids,6,F,
225,,,,,,,9aef01d1-c558-415c-bc3c-1b0e4cce9e6d,e6535b03-d9d0-49ee-9f81-d6e759384a8b,9/30/2020 8:57:31 AM,Harrison.Carmody_UWA,9/30/2020 8:57:31 AM,Harrison.Carmody_UWA,No,,,,None,,1982,6149,NManduCamp,,,Female,7 kids 8 adults,,,
226,,,,,,,3af94773-3417-47fd-91c1-36b4aec9dac8,6e856a8e-af96-4043-973f-4d86a2af78e4,9/30/2020 9:03:16 AM,Harrison.Carmody_UWA,9/30/2020 9:03:16 AM,Harrison.Carmody_UWA,Zero,Too often to know,,,None,,1975,Hamilton hill,MesaCamp,,,Male,Family 2 adults 4 kids,,,
227,,,,,,,383ab515-1075-403a-b56b-2e6ffdce35c0,efc5d933-fdb8-4693-a6ed-3db2948fd401,10/1/2020 1:16:35 AM,Harrison.Carmody_UWA,10/1/2020 1:16:35 AM,Harrison.Carmody_UWA,18,,30,,None,,1985,6071,YardieHomestead,,,Male,3 mates,5,F,Trophy EJ747
228,,,,,,,9cefb3b3-b024-4e5d-8601-165810bd945e,b36b6cde-cae1-4bef-8629-0f70c05a2fba,10/1/2020 1:32:45 AM,Harrison.Carmody_UWA,10/1/2020 1:32:45 AM,Harrison.Carmody_UWA,20,,18,,None,,1996,Didn’t want to give,YardieHomestead,,,Male,2 mates,4,C,
229,,,,,,,8b9a1fe9-f6d6-43df-bbbf-954ce639a7c3,e765e726-7048-4bf1-aa01-744876c8d189,10/1/2020 1:59:14 AM,Harrison.Carmody_UWA,10/1/2020 1:59:14 AM,Harrison.Carmody_UWA,12,,30,,OW,25,1973,6012,,,,Female,Family 4,7,D,
230,,,,,,,2ab7afc5-908a-4063-b3fc-1f92c7e77bad,d318c54d-1310-4f37-9d73-2ce6c49d4a7a,10/1/2020 2:20:49 AM,Harrison.Carmody_UWA,10/1/2020 2:20:49 AM,Harrison.Carmody_UWA,5,80,15,20,AOW,30,1991,6010,YardieHomestead,,,Male,3 mates,4,A,
231,,,,,,,ba5a3e10-e516-476a-aa9b-7eb71c4927c2,8477ee99-326b-434f-83ef-3d94edf5e6fa,10/1/2020 4:23:15 AM,Harrison.Carmody_UWA,10/1/2020 4:23:15 AM,Harrison.Carmody_UWA,9,0,Whole life,,None,,1974,Perth,YardieHomestead,,,Male,Few families maybe 10 people,8,D,
232,,,,,,,90f7063d-d51d-4bac-8b56-4603625f3d4f,a0bcc07a-7a04-44f3-a856-6d835dc12602,10/1/2020 7:20:16 AM,Harrison.Carmody_UWA,10/1/2020 7:20:16 AM,Harrison.Carmody_UWA,,Two,,,None,,1990,6725,Exmouth,,,Female,Girlfriend boyfriend ,7,,
233,,,,,,,9ed1da6b-1af0-424c-9feb-7639adea2e03,5f6556f9-d1b7-4159-befb-d0f2edf4c50a,10/1/2020 7:33:52 AM,Harrison.Carmody_UWA,10/1/2020 7:33:52 AM,Harrison.Carmody_UWA,26,,Life,,None,,1971,Exmouth,,,,Male,4 friends ,,F,
234,,,,,,,29fb5014-e643-4864-98c0-7388f1a3ad50,9cc62f6a-1df7-4d3b-b7fc-fbecb6a81636,10/1/2020 7:51:45 AM,Harrison.Carmody_UWA,10/1/2020 7:51:45 AM,Harrison.Carmody_UWA,Opportunistically-friends boats,,,,None,,1970,6714,Lighthouse,,,Male,"5; 2 adults, 3 kids",6,G,
235,,,,,,,d085a489-c158-4389-878b-84571af3b573,76027d95-fd6c-40f0-bb99-1e3ff09b1f3f,10/1/2020 8:04:27 AM,Harrison.Carmody_UWA,10/1/2020 8:04:27 AM,Harrison.Carmody_UWA,,,Life,,None,,1980,Rockingham ,Lighthouse,,,Male,2 guys,4,F,
236,,,,,,,74b44706-09c6-4e4f-a2a2-5d2e0c0b236d,c45e1502-5366-4641-8996-027df2a52366,10/1/2020 8:10:27 AM,Harrison.Carmody_UWA,10/1/2020 8:10:27 AM,Harrison.Carmody_UWA,Zero,,,,None,,1978,,Exmouth,,,Male,1,,,
237,,,,,,,f0f3b691-4f9f-4340-8d0b-e742fd10eed3,ee73b2b4-20cf-4d08-9787-7714af5c34d9,10/1/2020 8:31:13 AM,Harrison.Carmody_UWA,10/1/2020 8:31:13 AM,Harrison.Carmody_UWA,1 a month,,40,,None,,1978,6163,Exmouth,,,Male,4 adults ,7,G,
238,,,,,,,60f423f1-2933-4c7b-810e-c712afe687e9,26ed8224-4347-4684-8b04-c15e5e8b148d,10/1/2020 8:45:01 AM,Harrison.Carmody_UWA,10/1/2020 8:45:01 AM,Harrison.Carmody_UWA,12,,Life,,None,,1972,Cockburn,Exmouth,,,Male,5 adults 2 female rest male,6,D,
239,,,,,,,260aac34-c4af-4b7a-a408-381addbf0ef7,81112ffb-2764-41df-80d7-951554b8267a,10/1/2020 8:57:54 AM,Harrison.Carmody_UWA,10/1/2020 8:57:54 AM,Harrison.Carmody_UWA,,,30,,None,,,,Lighthouse,,,Male,Mum dad and teenaged boy,3,C,Ey166
240,,,,,,,f64c8182-aeeb-4d5d-bb21-ab52df9b077d,59292ec7-f68f-4fe2-b7d2-db4308ed9e12,10/2/2020 3:06:51 AM,Harrison.Carmody_UWA,10/2/2020 3:06:51 AM,Harrison.Carmody_UWA,100,,45,,None,,1974,6722,OspreyCamp,,,Male,6 families 12adults 12kids come every year for 6 years,,,
241,,,,,,,ee45e9e1-c0a0-4089-bbb2-a8ba747763cb,a20957dd-3a6c-4286-ab25-0a2cd68ee59e,10/2/2020 3:16:23 AM,Harrison.Carmody_UWA,10/2/2020 3:16:23 AM,Harrison.Carmody_UWA,0,,0,0,None,,1976,6153,OspreyCamp,Were staying rac ,,Female,4 adults 3 children,,,
242,,,,,,,ab09249d-8398-4c8b-a3fe-a217ee3b9406,fb48a1c6-fab1-4dc5-a1fb-eea86f162917,10/2/2020 3:29:18 AM,Harrison.Carmody_UWA,10/2/2020 3:29:18 AM,Harrison.Carmody_UWA,0,,0,,None,,1960,6330,YardieCamp,,,Male,Family 4,,,
243,,,,,,,5bce9440-c720-49e6-95fe-c365f74e54c7,4e09651a-9399-4880-b2c9-782421188088,10/2/2020 3:37:15 AM,Harrison.Carmody_UWA,10/2/2020 3:37:15 AM,Harrison.Carmody_UWA,0,0,0,0,None,,1983,6058,YardieHomestead,,,Female,Family of 4,,,
244,,,,,,,85a844e4-5766-43e6-9de3-5d8acf82f00e,5e227f03-02ad-4997-8cdd-6fa11139fcdd,10/2/2020 4:13:52 AM,Harrison.Carmody_UWA,10/2/2020 4:13:52 AM,Harrison.Carmody_UWA,,250,2,20,None,0,1970,6169,YardieHomestead,,,Male,2adults 2kids,,,
245,,,,,,,61c7d848-badb-4932-8cf2-56be38a8b289,993da53c-313c-4e6d-bdd2-cdf55ab9b637,10/2/2020 4:32:55 AM,Harrison.Carmody_UWA,10/2/2020 4:32:55 AM,Harrison.Carmody_UWA,0,,20,,None,,1971,6020,NingalooLodge,,,Male,2 families of 3,,,
246,,,,,,,942144aa-a4c8-4239-84da-39d35ed5ddb4,ea0fa9dc-dd56-4712-8d87-2b0d699cdc0f,10/2/2020 4:48:37 AM,Harrison.Carmody_UWA,10/2/2020 4:48:37 AM,Harrison.Carmody_UWA,5,100,32,35,AOW,100,1970,6156,OspreyCamp,Wandebandi,,Male,2 mates,,,
247,,,,,,,78572b31-91f7-49f6-9231-dbdc16546e35,5c3b123e-ff04-43e2-bfbb-7d767d66620f,10/2/2020 7:42:48 AM,Harrison.Carmody_UWA,10/2/2020 7:42:48 AM,Harrison.Carmody_UWA,12,156,40,40,None,,1974,6012,OspreyCamp,,,Male,2 adults 2children,,,
248,,,,,,,837ce344-9da9-45a5-9ec3-5d5b8978233b,70bb4cd3-9689-452b-8167-ccc3820157af,10/2/2020 7:55:13 AM,Harrison.Carmody_UWA,10/2/2020 7:55:13 AM,Harrison.Carmody_UWA,0,0,0,0,None,,1979,6012,OspreyCamp,,,Female,Family of 4 ,,,
249,,,,,,,88814762-61b4-45f1-8fbb-86747ca18442,d1fd2f95-3a6e-44de-bc49-e72fd26065af,10/2/2020 9:47:02 AM,Harrison.Carmody_UWA,10/2/2020 9:47:02 AM,Harrison.Carmody_UWA,4,52,1,25,None,,1985,6164,YardieHomestead,Ospreys,,Female,2 couples,,,
250,,,,,,,2f48a83e-dae3-4ada-977a-239e601c2aee,7b1ba731-7118-4281-8d6a-4b389a3e1efb,10/2/2020 9:54:21 AM,Harrison.Carmody_UWA,10/2/2020 9:54:21 AM,Harrison.Carmody_UWA,5,300,5,31,None,,1985,6164,YardieHomestead,Osprey,,Male, Couple,,,
251,,,,,,,0bc5eb06-91b5-40c8-a875-b40c1e3f53bc,46e7f15f-8541-416c-b526-bf16d7f1d466,10/3/2020 7:53:40 AM,Harrison.Carmody_UWA,10/3/2020 7:53:40 AM,Harrison.Carmody_UWA,0,,0,,,,1982,6525,YardieHomestead,,,Female,8 families 21kids 12adults,,,
252,,,,,,,cdc56b66-da19-4fff-9caf-8d4a7e1e70e5,466ed6f0-503c-4bf1-ae56-f1735fb4ac83,10/3/2020 9:05:15 AM,Harrison.Carmody_UWA,10/3/2020 9:05:15 AM,Harrison.Carmody_UWA,0,,0,,None,,1983,6157,NingalooLodge,,,Male,Family of 4,,,
253,,,,,,,29c55857-66a5-4c4f-be9c-304cb5a9063d,e13cfe79-68e6-4093-820f-85dcbde1b950,10/3/2020 9:10:20 AM,Harrison.Carmody_UWA,10/3/2020 9:10:20 AM,Harrison.Carmody_UWA,,52,,5,OW,,1995,Spearwood,YardieHomestead,,,Female,Solo,,,
254,,,,,,,c0f2a849-a8f4-4777-858b-d235adef2649,a88c9301-2a49-423d-9c7b-6a0ea2e6f508,10/3/2020 9:32:33 AM,Harrison.Carmody_UWA,10/3/2020 9:32:33 AM,Harrison.Carmody_UWA,0,0,0,0,Rescue,,1986,6164,RACHolPark ,,,Female,2 adults one young kid,,,
255,,,,,,,77714b47-ff7d-4d49-aeab-3d8d894c638a,f8198006-2f9a-4c7e-8f86-f9c076daecca,10/4/2020 3:07:41 AM,Harrison.Carmody_UWA,10/4/2020 3:07:41 AM,Harrison.Carmody_UWA,Zero,,None,,None,,2001,Padbury,Lighthouse,,,Female,1 lady by herself,,,
256,,,,,,,02f1fd52-ec9e-4074-b0bf-e86fe1b18e2d,575deaf9-d1f5-45ff-91de-0be1085295ff,10/4/2020 6:43:05 AM,Harrison.Carmody_UWA,10/4/2020 6:43:05 AM,Harrison.Carmody_UWA,Fortmightly,,,,None,,1982,Kojanup,NManduCamp,,,Female,3 males fishing 1 female on beach 1 teenage daughter on beach,,,
257,,,,,,,bcb5ab33-0d75-4e2f-bc11-c93264955616,dbca8f15-d89d-4ed1-bb50-be4a409d1546,10/4/2020 6:50:15 AM,Harrison.Carmody_UWA,10/4/2020 6:50:15 AM,Harrison.Carmody_UWA,Zero,,,,None,,1979,6012,TulkiCamp,,,Female,"Three families; total 14 , 5 adults rest kids",,,
258,,,,,,,782962dd-29d5-4fe1-b656-29930bba3b45,36246676-bac0-4f0d-9c40-20001dc64414,10/4/2020 7:00:03 AM,Harrison.Carmody_UWA,10/4/2020 7:00:03 AM,Harrison.Carmody_UWA,Zero but my husband goes all the time,,,,,,,Mandurah,NManduCamp,,,Female,2 ladies 4 kids,,,
259,,,,,,,9a9b193d-4c54-43ef-8d3c-246be86261f8,35f067a7-573c-4900-b102-a2c17e367b57,9/27/2020 4:21:41 AM,Harrison.Carmody_UWA,9/27/2020 4:21:41 AM,Harrison.Carmody_UWA,Zero,Not doing nex ,20 years,,None,,1973,Perth but from South Africa postcode byford,Exmouth,,,Male,Dad and two boys,,,
260,,,,,,,c5a1f5b1-ee3e-4242-925c-b141290d019e,50a07631-9033-4587-b2de-0b349e74a747,9/27/2020 7:34:45 AM,Harrison.Carmody_UWA,9/27/2020 7:34:45 AM,Harrison.Carmody_UWA,Three,,40,,,,1971,6016,CoralBay,,,Female,2 male adults 2 female adults 4 kids,6,G,Ad235
261,,,,,,,7008d806-f10e-49cc-b866-1e3ec6848b2e,f60c65b1-6a44-4153-925b-0883fe654616,9/27/2020 7:45:22 AM,Harrison.Carmody_UWA,9/27/2020 7:45:22 AM,Harrison.Carmody_UWA,52,,50,,,,1968,Clarkson,CoralBay,,,Male,3 adults 2 women 1 man and one teenager,5,F,Guided missile
262,,,,,,,,e303938e-1276-4bcb-ac42-3a32012a5092,9/27/2020 7:53:16 AM,Harrison.Carmody_UWA,9/27/2020 7:53:16 AM,Harrison.Carmody_UWA,20,,30,,,,1967,Bunbury,CoralBay,,,Male,"2 men, 1 woman, 2 kids",,G,Youngbloods
263,,,,,,,e297a308-bf39-4df3-98c1-d08471019dc7,2fc93ecc-8fb5-4797-84dd-46a39dccf098,9/28/2020 3:12:43 AM,Harrison.Carmody_UWA,9/28/2020 3:12:43 AM,Harrison.Carmody_UWA,0,,30,,None,,1988,6166,BayView,,,Female,Family of 4 ,,,
264,,,,,,,38d03f86-7888-4a85-ab4c-65ac7cdf0614,7c748389-e7d6-4902-af9a-0cf2dcfaf81c,9/28/2020 3:21:37 AM,Harrison.Carmody_UWA,9/28/2020 3:21:37 AM,Harrison.Carmody_UWA,0,0,10,0,None,,1979,6151,PeoplesPark,,,Female,3 families,,,
265,,,,,,,38802e68-d396-4bb6-8367-51555c975d63,3c61d070-4591-491f-9fc3-e030d8758fb4,9/28/2020 3:27:33 AM,Harrison.Carmody_UWA,9/28/2020 3:27:33 AM,Harrison.Carmody_UWA,0,0,0,,,,1976,6028,BayView,,,,,,,
266,,,,,,,1d162436-1956-430b-8f58-fee0116e94a1,5c0aa275-b542-459c-8351-94c2d8b482ef,9/28/2020 4:33:54 AM,Harrison.Carmody_UWA,9/28/2020 4:33:54 AM,Harrison.Carmody_UWA,0,,0,,None,,1979,6009,,,,Male,Family of 4,,,
267,,,,,,,35e4d4a4-8d9b-433d-86a1-ff3df5b16d25,f7051947-0b6e-48f0-98c7-702ff22c0939,9/28/2020 4:39:01 AM,Harrison.Carmody_UWA,9/28/2020 4:39:01 AM,Harrison.Carmody_UWA,10,,40,,None,,1968,6012,PeoplesPark,,,Female,Couple,,,
268,,,,,,,bbdb51da-6435-4b69-b46b-c2fbb4d2a7f3,055e3dae-edaf-4fe9-a506-59e0362096b8,9/29/2020 8:00:11 AM,Harrison.Carmody_UWA,9/29/2020 8:00:11 AM,Harrison.Carmody_UWA,1,,Whole life,,None,,1962,6350,MantaResort,,,Female,4 family bogan older kids,7,G,Hire boat
269,,,,,,,7c3b0e9f-76ef-42d7-b7d4-e8b3a1b5a3c6,a3c1c218-1a9e-4013-a05b-2f90fd158bf3,9/29/2020 8:12:15 AM,Harrison.Carmody_UWA,9/29/2020 8:12:15 AM,Harrison.Carmody_UWA,12,,20,,None,,1978,6018,MantaResort,,,Male,Father and son,7,G,
270,,,,,,,e02865a9-0896-413e-9191-d4744939dd57,e42733db-f732-4900-9f85-11787cd1e77c,9/29/2020 8:18:46 AM,Harrison.Carmody_UWA,9/29/2020 8:20:51 AM,Harrison.Carmody_UWA,20,,16,,None,,2002,6020,NingalooBreeze,,,Male,Father with 2 teenage kids,6,D,The bandit - EN443
271,,,,,,,8c04355c-ef89-456a-8cc4-dc217ffaa368,b85fded3-045e-4222-b8ec-0bb6abeebef1,9/29/2020 8:36:38 AM,Harrison.Carmody_UWA,9/29/2020 8:36:38 AM,Harrison.Carmody_UWA,10,,40,30,OW,1000?,1971,6066,NingalooBreeze,,,Male,Family of 4,6,D,Jenny
272,,,,,,,dec49490-1cb9-4c23-91d8-6a168d62c600,0c8b7479-3eae-46e9-b94c-de74b6007354,9/29/2020 8:53:15 AM,Harrison.Carmody_UWA,9/29/2020 8:53:15 AM,Harrison.Carmody_UWA,30,,20,,None,,1995,Exmouth,,,,Male,Young couple,3,C,B0807
273,,,,,,,f0370b5e-9fb6-408f-9340-922cf3cd1adf,247f1307-5827-41fa-a4bf-553951fa8b88,9/29/2020 8:59:26 AM,Harrison.Carmody_UWA,9/29/2020 8:59:26 AM,Harrison.Carmody_UWA,6,,25,,None,,1963,6152,Lighthouse,,,Male,Couple,3,C,BW421
274,,,,,,,96505b85-9eb0-4d2c-9bf4-9b8ea23d36fc,974c309e-5561-44b8-bbc7-4330b65a0ac0,9/29/2020 9:05:07 AM,Harrison.Carmody_UWA,9/29/2020 9:05:07 AM,Harrison.Carmody_UWA,50,,10,,None,,2000,6156,Lighthouse,,,,,5,F,68296
275,,,,,,,006a1268-91e7-4fd8-9fd4-001914910c7b,01f63872-2291-4354-9a20-eb3d31801cf2,9/29/2020 9:16:37 AM,Harrison.Carmody_UWA,9/29/2020 9:16:37 AM,Harrison.Carmody_UWA,24,,15,,None,,1978,6237,NingalooLodge,,,Male,Family of 4 ,6,G,EA909
276,,,,,,,c8098d02-1e44-4a47-88ea-215d9b830999,ae32376e-4d4f-4622-900c-7ea3aec45166,9/29/2020 9:34:37 AM,Harrison.Carmody_UWA,9/29/2020 9:34:37 AM,Harrison.Carmody_UWA,,150,,7,None,,1962,6281,Lighthouse,,,Male,,3,C,
277,,,,,,,55e01e15-cde0-41ab-927f-7be59b0eed4f,c3deed98-800c-4120-a7b9-9e8c03240e68,9/29/2020 9:40:57 AM,Harrison.Carmody_UWA,9/29/2020 9:40:57 AM,Harrison.Carmody_UWA,4,,25,,None,,1962,6164,,Carpenter street - semi resident,,Female,"3 women 2 guys , older South Africans ",7,D,
278,,,,,,,eacb2fcf-0b00-4b93-a88e-354b3e0ab668,48dba169-81f6-4235-8354-646f202f1999,9/29/2020 9:51:33 AM,Harrison.Carmody_UWA,9/29/2020 9:51:33 AM,Harrison.Carmody_UWA,,,,30,OW,20,1978,6065,,Grenadier street,,Male,,3,,BA169
279,,,,,,,d88e5f97-1c50-4ddf-bc27-e7a05610f999,a5474c5e-3152-46dd-9f4c-025aadd80f11,9/29/2020 10:05:09 AM,Harrison.Carmody_UWA,9/29/2020 10:05:09 AM,Harrison.Carmody_UWA,24,,30,,None,,1975,6330,Lighthouse,,,Male,"Couple, one Aussie one Canadian ",4,C,BR528
280,,,,,,,8f5b5c9e-b0c7-420c-ad22-6e4bfed6d0e7,eba7585d-122a-4add-ba88-2aeb73ee8582,9/30/2020 3:43:06 AM,Harrison.Carmody_UWA,9/30/2020 3:43:06 AM,Harrison.Carmody_UWA,6,,Since childhood,,OW,25,1982,6012,RACHolPark ,,,Female,Family of 5,,,
281,,,,,,,9d114731-7617-402e-bfc4-80d1b35572d3,cdfd16bb-fc28-4cef-9e1b-415bbe1830c6,9/30/2020 3:50:05 AM,Harrison.Carmody_UWA,9/30/2020 3:50:05 AM,Harrison.Carmody_UWA,3,,2,,None,,1999,6407,,Overflow car park exmouth,,Male,Couple ,,,
282,,,,,,,9c1ec4dc-ecad-4f70-9312-56deeb72cf76,4cdf195b-aae9-4f4f-9b0d-238759cf32ff,9/30/2020 3:57:22 AM,Harrison.Carmody_UWA,9/30/2020 3:57:22 AM,Harrison.Carmody_UWA,0,,0,45,None,,1970,6157 6307,YardieHomestead,,,Male,4 kids 2 adults,,,
283,,,,,,,5c604122-9961-4e01-b31a-f89fc548c794,1b2e5c02-b707-4166-9f2c-d350767f73e7,9/30/2020 4:04:55 AM,Harrison.Carmody_UWA,9/30/2020 4:04:55 AM,Harrison.Carmody_UWA,18,,15,,None,,1973,6713,RACHolPark ,,,Male,,,,
284,,,,,,,05109150-5604-43a2-9a55-31c66a5e4073,6925e761-1e32-4583-964f-5ac37ac043d1,9/30/2020 4:11:40 AM,Harrison.Carmody_UWA,9/30/2020 4:11:40 AM,Harrison.Carmody_UWA,1,,,,None,,1982,6155,ExmouthEscape,,,Male,Family of 4,,,
285,,,,,,,2a55ba63-9967-469e-a663-176986416e9f,7d560c98-46e0-449e-95d1-09dac5a4c6f2,9/30/2020 7:25:42 AM,Harrison.Carmody_UWA,9/30/2020 7:25:42 AM,Harrison.Carmody_UWA,0,5,1,,None,,1992,Backpacker camping,Lighthouse,,,Male,Backpackers,,,
286,,,,,,,55f87cb6-afba-4f07-a163-ba37250bbe05,437ead76-2483-49c4-97bb-43fbcd77a2b1,9/30/2020 7:33:14 AM,Harrison.Carmody_UWA,9/30/2020 7:33:14 AM,Harrison.Carmody_UWA,2,,0,,OW,20,1977,6010,,Ned’s campsite,,Male,Family of 4,,,
287,,,,,,,c3df889e-ce40-4e0e-a405-269f5fc9b007,b2fe7d57-69f1-432b-9da9-efe3b5b6e3b1,9/30/2020 8:22:54 AM,Harrison.Carmody_UWA,9/30/2020 8:22:54 AM,Harrison.Carmody_UWA,12,Every day! Almost,30,40,AOW,30,1971,Rocking ham safety bay,RACHolPark ,,,Male,WA Surf crew,3,A,
288,,,,,,,4255a787-bf01-4c99-a6ed-6438e379f5a7,9c500c45-2dc6-40a8-9dc2-58959167b2ed,9/30/2020 8:26:52 AM,Harrison.Carmody_UWA,9/30/2020 8:26:52 AM,Harrison.Carmody_UWA,0,100,0,20,OW,15,1985,6071,YardieHomestead,,,Female,Couple,,,
289,,,,,,,8e2be1f8-5346-400b-a636-67b86dbc6a39,0876e77f-b6d2-4ac2-894d-61dbf27acc6f,9/30/2020 9:04:15 AM,Harrison.Carmody_UWA,9/30/2020 9:04:15 AM,Harrison.Carmody_UWA,0,60,0,7,OW,12,1964,6153,YardieCamp,,,Male,Couple,,,
290,,,,,,,cce1ce2d-1789-4341-a5f5-ab38e9608cbe,b1f916b4-ddf1-4171-b13a-8b8079f1b8ad,9/30/2020 9:21:14 AM,Harrison.Carmody_UWA,9/30/2020 9:21:14 AM,Harrison.Carmody_UWA,0,0,0,0,None,,1965,6153,YardieHomestead,,,Female,Couple,,,
291,,,,,,,f765c9e1-3496-46c8-90a2-548af5ca86ce,6cec6c02-37b5-49bc-b54f-498b1bc95930,9/30/2020 9:40:40 AM,Harrison.Carmody_UWA,9/30/2020 9:40:40 AM,Harrison.Carmody_UWA,0,,0,0,None,,2000,6107,YardieHomestead,,,Female,"Friends students and professionals, young",,,
292,,,,,,,185f8264-3a3d-4d54-a011-34485bfa0bbd,c4934a37-de67-4e98-b06a-dff4da412c78,9/30/2020 9:52:35 AM,Harrison.Carmody_UWA,9/30/2020 9:52:35 AM,Harrison.Carmody_UWA,1,,,35,OW,30,1970,6156,YardieHomestead,,,Male,8,,,
293,,,,,,,c7014b37-d60e-4fa0-83bc-7f1a81c3be79,34c7f137-86c3-4851-ac14-8ef291496700,9/30/2020 10:02:47 AM,Harrison.Carmody_UWA,9/30/2020 10:02:47 AM,Harrison.Carmody_UWA,0,,0,6,None,,1976,6163,RACHolPark ,Yardie,,Female,Family of 4,,,
294,,,,,,,7e335926-51c0-42e7-a7f6-a71e6170f814,449a086e-db69-43d9-9860-8cf35eae1994,10/1/2020 8:12:31 AM,Harrison.Carmody_UWA,10/1/2020 8:12:31 AM,Harrison.Carmody_UWA,10,176,65,59,None,,1949,6282,,Private residence,,Male,Wife at home,,,
