ID,InterviewDate,InterviewTime,Interviewer,Transect,Access,TotDaysInArea,BoatAccess,DaysOnBoat,DaysOnShore,TimesInTwenty,TimesInNineteen,Covid,Meta.x,Meta.y,EXTRACTIVE SURVEY,ActivityDate,FishingType,BaitLure,TimeEnterWater,TimeOutWater,MaxDepth,KeptUndam,ReleasedUndam,DP,What species did you catch?,Why did you leave this site?,"If OTHER, why did you leave this site?",NON_EXTRACTIVE SURVEY,What activity did you do?,"If OTHER, activity",What time did you start the activity?,What time did you end the activity?,"If DIVING, max depth",Why did you choose this site?,"If OTHER, why this site",Why did you leave this site?_1,"If OTHER, why did you leave this site?_1",,Use.x,Use.y,DaysOfYrFishedBoat,DaysOfYrFishedShore,DaysOfYrNonEx,# years fishing?,# years doing NEX?,"Are you a diver? If so, what is your certification?","If DIVING, # dives?",What year were you born?,Home postcode,"If VISITOR, where are you staying?","If OTHER, where are you staying",Male or Female,Describe party,Boat length,Boat Type,Boat name or number,Comments
64,9/26/2020,8:40:51,Gabby,Exmouth,ExBR,Resident,Yes,NA,NA,NA,NA,NA,114.1394713,-21.95578718,NA,9/26/2020,Squidding,Lure,14:00,16:00,0,2,1,0,Squid,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.131771,-22.046587,Too many to count,,NA,47,0,None,NA,1973,6707,NA,NA,Male,2m,3,C,NA,Caught one cod with the lure but were just squidding. Released one squid
65,9/30/2020,7:26:22,Sam,Bundegi,DunesBeach,7,No,0,7,0,0,Yes,114.1461153,-21.79650149,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ned_„Žs campsite,Relaxing,NA,10:00,12:00,NA,Access,NA,ActivityChange,NA,,114.1454457,-21.79763445,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,10/02/20,,Gabby,Exmouth,ExBR,10,Yes,10,10,0,0,No,114.1384377,-21.95461221,NA,10/02/20,Squidding,NA,13:00,NA,0,1,NA,NA,Squid,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1794228,-21.958262,26,,NA,39,0,None,NA,1981,6215,Exmouth,NA,Male,5m4k,10,G,NA,Weather made kids feel seasick; Going to Sandy Bay tomorrow.  
67,9/30/2020,7:34:34,Nicole,Bundegi,BunBR,14,Yes,5,0,1,1,No,114.1732973,-21.83078353,NA,9/30/2020,Demersal,Bait,10:30,12:00,66,3,0,4,"Cobia, spangled emp",Depredation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.0965033,-21.77111624,17,,NA,40,0,None,NA,1972,6017,Exmouth,NA,Male,2m1k,7,G,The bandit,NA
68,10/04/20,,Nicole,Tantabiddi,TantBR,7,No,0,7,2,0,No,113.9781227,-21.91260587,NA,10/04/20,Casting,Bait,12:30,1315 still there,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weather,NA,NA,NA,,113.977614,-21.91218354,84,,NA,10,0,None,NA,NA,6210,Exmouth,NA,Male,2m2f,NA,NA,NA,NA
69,10/02/20,,Sam,Tantabiddi,SandyBay,10,No,0,10,0,0,No,113.8425374,-22.23242617,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,12:00,14:00,NA,Access,NA,Other,Needed beer,,113.8424452,-22.231722,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiting
70,9/26/2020,7:37:45,Nicole,Exmouth,ExBR,10,Yes,5,3,1,1,No,114.1395932,-21.95592689,NA,9/26/2020,Squidding,Lure,14:00,14:30,5,1,0,0,Squid,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1470785,-22.26431509,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,10/02/20,,Sam,Tantabiddi,OspreyBay,7,No,0,7,0,1,No,113.8400306,-22.23808846,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,11:00,11:45,NA,Megafauna,NA,NA,NA,,113.839731,-22.23791775,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Turtles
72,10/02/20,,Nicole,Exmouth,TownBeach,Resident,No,NA,NA,NA,NA,NA,114.1398403,-21.94560919,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,14:00,18:00,NA,Access,NA,NA,NA,,114.1401706,-21.94545215,156,,NA,50,0,None,NA,1971,NA,NA,NA,Male,2m1f,NA,NA,NA,"3 week  said he only have to fish once a week 10 years ago to get enough fish to eat, now he has to fish 3 times a week to get enough fish to eat. No fish left , when they go out on they boat they get 1 fish out of three taken by sharks and move on but say"
73,9/26/2020,9:04:34,Sam,Exmouth,ExBR,4,Yes,4,0,1,0,No,114.1384374,-21.95487564,Marion,9/26/2020,Demersal,Lure,08:00,16:30,10,1,1,0,Mackrel,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.3459566,-21.67687079,12,,12,42,0,OW,NA,1978,6285,YardieHomestead,NA,Male,2m,8,G,NA,NA
74,9/28/2020,3:18:17,Nicole,CoralBay,CBBR,14,No,0,14,0,0,No,113.7664054,-23.15776351,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:00,Still there 11.22,NA,Quiet,NA,NA,NA,,113.7660358,-23.15784944,NA,,NA,0,0,None,NA,1977,6171,CoralBay,NA,Female,3m3f3k,NA,NA,NA,NA
75,9/30/2020,7:19:02,Gabby,Bundegi,DunesBeach,9,Yes,9,9,1,1,No,114.1800029,-21.77610931,NA,9/30/2020,Spearing,NA,10:00,10:30,NA,NA,NA,NA,NA,ActivityChange,NA,NA,Surfing,NA,14:00,Hasn_„Žt ended,NA,Surf,NA,NA,NA,,113.9773401,-21.87176066,20,,NA,25,0,None,NA,1995,6018,Lighthouse,NA,Female,1f,4,C,NA,She is a school teacher at church lands-hence holiday in school holidays; Went spear an another site during the day; stopped activity to have lunch
76,9/30/2020,3:44:48,Nicole,Tantabiddi,SandyBay,9,No,0,5,0,0,No,113.8423458,-22.23088379,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,09:00,Still there 1148,NA,Quiet,NA,NA,NA,,113.8423146,-22.23081556,No,,NA,0,0,None,NA,1987,6714,Exmouth,NA,Female,1m1f1k,NA,NA,NA,Reccommended as quiet site
77,10/02/20,,Nicole,Tantabiddi,TantBR,14,Yes,7,7,1,1,Yes,113.9784127,-21.9123845,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WhaleWatch,NA,09:30,11:00,NA,Weather,NA,Weather,NA,,114.0038633,-21.85044569,15,,NA,35,0,None,NA,1980,6107,YardieHomestead,NA,Male,1m1f,4,F,Rental,"DidnÕt really choose site, was just dirving to each beach seeing which was out od wind. "
78,10/01/20,,Nicole,Bundegi,BundegiBeach,5,No,0,5,0,0,Yes,114.1779078,-21.82637754,NA,10/01/20,Casting,Bait,16:30,Still here 1650,NA,0,0,0,NA,NA,NA,NA,Relaxing,NA,NA,NA,NA,Other,Could go fishing,NA,NA,,114.177339,-21.82679622,0,365,NA,2,0,None,NA,1975,6050,Lighthouse,NA,Female,1m1f1k,NA,NA,NA,NA
79,09/01/20,,Sam,Bundegi,LHBaySZSouth,120,No,0,120,0,1,No,114.1539025,-21.79157999,NA,09/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,12:00,12:45,NA,Weather,NA,Other,Work,,114.169341,-21.8351514,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Comes up for between 1-4 moths every year
80,10/02/20,,Gabby,Tantabiddi,OysterStacks,14,No,0,14,0,0,Yes,113.8787748,-22.13074101,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:00,NA,NA,Biodiveristy,NA,NA,NA,,113.8810201,-22.1292117,0,,NA,0,0,None,NA,1985,6018,NA,NA,Female,2f,NA,NA,NA,NA
81,10/04/20,,Sam,Bundegi,Trisel,13,No,0,13,0,0,No,114.0383569,-21.84685662,NA,10/04/20,Casting,Lure,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12:00,12:45,NA,Biodiveristy,NA,NA,NA,,114.0379232,-21.84718978,6,,150,50,50,OW,NA,1959,6333,Lighthouse,NA,Male,12,NA,NA,NA,NA
82,9/30/2020,8:19:05,Gabby,Bundegi,Janz,12,Yes,9,12,0,1,Yes,114.0728365,-21.82738979,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 kids 6 adults,Relaxing,NA,14:00,Now is 430,NA,Access,NA,Other,Shower all the kids before bed,,114.07308,-21.82702892,10,,NA,39,0,None,NA,1981,6024,NA,NA,Female,3m3f7k,6,F,NA,Also because itÕs a nice beach 
83,10/02/20,,Gabby,Exmouth,ExBR,12,Yes,8,12,0,0,Yes,114.1386264,-21.95500708,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,08:00,Now,NA,Megafauna,NA,EndOfDay,NA,,114.1988092,-21.86050201,5,,NA,40,0,None,NA,1964,6152,NA,NA,Male,2m2f2k,5,F,NA,Trying to find mantas
84,10/03/20,,Nicole,Tantabiddi,Mesa,11,No,0,11,0,1,No,113.9270034,-22.0041681,NA,10/03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,16:30,17:30,NA,Access,NA,NA,NA,,113.9270983,-22.00414119,0,3,NA,30,0,None,NA,1973,6210,NA,NA,Male,1m1f2k,NA,NA,NA,NA
85,10/02/20,,Nicole,Tantabiddi,TantBR,Resident,Yes,NA,NA,NA,NA,NA,113.9783434,-21.91235051,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,15:00,17:00,NA,Megafauna,NA,Weather,NA,,114.1859501,-21.82277476,12,,40,20,30,DM,NA,1975,NA,NA,NA,Male,1m,NA,NA,NA,NA
86,9/29/2020,9:35:26,Sam,Bundegi,BunBR,7,No,0,7,0,3,No,114.1708228,-21.8356138,NA,9/29/2020,Demersal,Bait,14:00,17:40,NA,NA,2,1,"Snappy, charlie",End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.3216955,-21.69817215,4,,NA,25,0,None,NA,1962,6164,CarpenterSt,NA,Female,2m3f,7,D,NA,NA
87,9/30/2020,7:26:22,Sam,Bundegi,DunesBeach,7,No,0,7,0,0,Yes,114.1461153,-21.79650149,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,13:30,16:00,NA,Surf,NA,ActivityChange,NA,,114.1460261,-21.79716469,2,,NA,0,0,OW,20,1977,6010,Neds,NA,Male,1m1f2k,NA,NA,NA,Rockpools for kids to look as well
88,9/30/2020,7:17:07,Nicole,Bundegi,BunBR,7,Yes,3,7,0,0,Yes,114.1732904,-21.83080859,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,10:30,13:30,NA,Other,Check it out,Other,Surf dropped lunch,,114.1318332,-21.80510477,42,,NA,4,0,None,NA,1973,6014,Exmouth,NA,NA,1m1f2k,7,G,Eh742,NA
89,10/03/20,,Nicole,Exmouth,ExBR,6,No,0,6,0,0,No,114.1385753,-21.95487928,NA,10/03/20,Casting,Lure,08:30,10:20,2,0,1,0,Dont know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1387786,-21.95512023,12,12,NA,24,0,None,NA,1996,6073,GrimalStation,NA,Female,2m1f,NA,NA,NA,Fishing off Exmouth boat ramp
91,10/02/20,,Sam,Tantabiddi,OspreyBay,8,No,0,8,0,0,No,113.8406992,-22.23761903,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oyster stacks,Snorkling,NA,10:00,14:30,NA,Other,NA,Other,Feed kids,,113.8409297,-22.23857922,0,,0,0,0,None,NA,1983,6058,YardieHomestead,NA,Female,1m1f2k,NA,NA,NA,NA
92,9/30/2020,3:58:05,Sam,Tantabiddi,SandyBay,7,No,0,7,1,1,Yes,113.8423089,-22.23203185,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09:30,15:30,NA,NA,Wanted to do turquoise bay,EndOfDay,NA,,113.8433296,-22.2317896,18,,NA,15,0,None,NA,1973,6713,RACHolPark,NA,Male,NA,NA,NA,NA,NA
93,10/01/20,,Nicole,Bundegi,BundegiBeach,14,No,0,6,0,1,No,114.176867,-21.82707822,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RowSport,NA,14:00,17:00,NA,Other,Kid friendly,EndOfDay,NA,,114.1756671,-21.82806532,NA,,NA,0,0,None,NA,1977,6069,RACHolPark,NA,Female,1m1f3k,NA,NA,NA,swimming as well
94,9/27/2020,7:58:04,Sam,ExmouthS,Bills Bay,7,Yes,4,6,1,0,No,113.7689566,-23.14231012,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,13:00,16:00,NA,Access,NA,Weather,NA,,113.7686521,-23.14255945,NA,,NA,30,0,Rescue,100,1973,6071,BayView,NA,Male,3 familes,8,G,NA,NA
95,10/02/20,,Gabby,Tantabiddi,OysterStacks,9,No,0,9,0,0,No,113.8779163,-22.13043515,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:00,Havnt,NA,Other,Stacks,NA,NA,,113.8794352,-22.12982343,2,,Whenever possible,0,0,None,NA,1973,6028,Exmouth,NA,Male,1m2k,NA,NA,NA,NA
96,9/30/2020,4:02:34,Nicole,Tantabiddi,SandyBay,10,Yes,9,10,2,1,No,113.8419198,-22.23073291,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,12:00,13:30,NA,Quiet,NA,NA,NA,,113.8419183,-22.23073421,5,,NA,5,0,AOW,70,1990,6023,Lighthouse,NA,Female,6f,NA,NA,NA,Reccommended as quiet site
97,10/02/20,,Nicole,Tantabiddi,TantBR,10,Yes,2,10,0,0,No,113.9782821,-21.91234075,"Ned_„Žs camp, 2km off",10/02/20,Casting,Both,09:30,10:50,5,0,7,0,"Rock code, spangled emp",End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.9198641,-22.00506466,5,,NA,20,0,None,NA,1976,6015,MesaCamp,NA,Male,2m1f,3,F,Green hire boat,Had a reservation to get to. 
98,10/01/20,,Gabby,Bundegi,BunBR,14,Yes,9,14,0,0,No,114.1708451,-21.83560501,NA,10/01/20,Demersal,Bait,09:00,16:00,NA,1,0,0,Long nose emporer,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2377546,-21.5536179,12,,NA,48,0,None,NA,1972,6164,Exmouth,NA,Male,3m2f,6,D,NA,NA
99,9/26/2020,9:48:54,Sam,Exmouth,ExBR,7,Yes,NA,NA,1,0,Yes,114.1385733,-21.95461973,NA,9/26/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:00,18:00,NA,Weather,NA,EndOfDay,NA,,114.144446,-21.94961814,24,,0,20,0,None,NA,1976,6532,NA,NA,Male,1m1f2k,5,F,NA,NA
100,10/03/20,,Gabby,Exmouth,ExmouthYacht,11,Yes,1,11,1,1,No,114.1392441,-21.94841406,NA,10/03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,09:45,11:45,NA,Weather,NA,ActivityChange,NA,,114.1389711,-21.94881738,3,,182,4,18,Rescue,24,1992,6012,YardieHomestead,NA,Male,With a group of 20 kite surfers; 16 adults and 4 kids,NA,NA,NA,Kiting
101,9/30/2020,7:02:03,Nicole,Bundegi,BunBR,14,Yes,5,14,3,2,No,114.1733446,-21.83075365,NA,9/29/2020,Casting,Lure,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Snorkling,NA,10:00,NA,NA,Quiet,NA,ActivityChange,NA,,113.8436301,-22.2304899,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would of been somewhere else in July school h9idays; Ready to move on from site. 
102,10/02/20,,Sam,Tantabiddi,SandyBay,8,No,0,8,0,0,No,113.8430215,-22.23189271,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,08:00,14:00,NA,NaturalSurroundings,NA,ActivityChange,NA,,113.8431368,-22.231722,0,,NA,20,0,None,NA,1971,6020,NingalooLodge,NA,Male,2m2f2k,NA,NA,NA,NA
103,9/28/2020,4:32:35,Gabby,CoralBay,Bills Bay,11,No,0,11,0,1,Yes,113.7692946,-23.1415735,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,10:00,Still going,NA,NaturalSurroundings,NA,EndOfDay,NA,,113.7698265,-23.14231681,No,,Whenever we can,0,0,None,NA,1972,6110,CoralBay,NA,Male,7 adults 5 kids,NA,NA,NA,"Chilling hat the beach, spending time with family and playing footy"
104,9/27/2020,7:17:17,Sam,ExmouthS,MaudsLanding,7,No,0,4,0,1,No,113.78487,-23.11115388,NA,9/27/2020,NA,Lure,14:00,16:00,NA,0,0,0,NA,Weather,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.7829134,-23.11115388,1,,NA,30,0,OW,20,1975,6100,CoralBay,NA,Male,2m,NA,NA,NA,Wind made them stop activit.
105,9/30/2020,7:53:07,Nicole,Bundegi,BunBR,10,Yes,2,10,0,0,No,114.1732519,-21.83078784,NA,9/30/2020,Trolling,Lure,11:00,NA,6,0,2,0,NA,ActivityChange,Was trolling to next site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.9800152,-21.83923144,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,10/02/20,,Gabby,Exmouth,ExBR,10,Yes,10,10,0,0,No,114.1385648,-21.95486518,NA,10/02/20,Squidding,Bait,14:00,17:00,NA,2,NA,0,1 squid 2 fish,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.151469,-21.95522392,52,,NA,0,0,None,NA,1971,NA,Exmouth,NA,Male,2m3k,4,C,NA,Bottom bashing as well; Note they also had a jet ski- jet ski and dinghy were together 
107,9/30/2020,4:02:34,Nicole,Tantabiddi,SandyBay,10,Yes,9,10,2,1,No,113.8419198,-22.23073291,Shoals  cooper,9/27/2020,Casting,Both,12:00,16:30,5,3,0,0,"2 squid, 1 snapper blue line empower",End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2039556,-21.93411451,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,10/01/20,,Nicole,Tantabiddi,Turquoise Bay 1,4,No,0,4,0,0,Yes,113.8858681,-22.09875536,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,10:30,1106 still here,NA,Biodiveristy,NA,NA,NA,,113.8859458,-22.09848232,3,20,NA,50,0,None,NA,1942,6107,NA,NA,Male,Big family party in water don_Ñét know how many,NA,NA,NA,NA
109,10/02/20,,Sam,Tantabiddi,SandyBay,8,No,0,8,0,0,No,113.8425835,-22.23197806,NA,10/02/20,Casting,Lure,06:30,07:30,3,3,NA,0,Spangled emperor,ActivityChange,NA,NA,NA,NA,NA,NA,NA,Access,NA,NA,NA,,113.8407854,-22.23714192,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,9/30/2020,8:52:33,Nicole,Bundegi,BunBR,7,Yes,7,0,0,0,No,114.1732714,-21.83075872,NA,9/30/2020,Demersal,Bait,14:00,15:30,15,0,0,0,NA,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.2604029,-21.7376753,20,,NA,30,0,OW,20,1975,6155,Exmouth,NA,Male,3m,5,E,Dd632,NA
111,10/04/20,,Nicole,Bundegi,BundegiBeach,10,Yes,3,10,3,5,No,114.1735184,-21.8309347,NA,10/04/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,06:30,08:50,NA,Weather,NA,BetterSite,NA,,114.1734737,-21.83088193,30,,150,42,2,OW,150,1978,6156,Exmouth,NA,Male,1m1f,NA,NA,NA,Kiting
112,9/28/2020,3:19:56,Gabby,CoralBay,MaudsLanding,14,Yes,10,14,0,0,No,113.7762221,-23.11392034,NA,9/28/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,10:30,Still going,NA,NaturalSurroundings,NA,NA,NA,,113.7764956,-23.11388531,0,,NA,30,0,None,NA,198,6233,CoralBay,NA,Male,1m1f4k,NA,NA,NA,"Not a serious fisher, infrequent"
113,9/27/2020,7:37:27,Gabby,CoralBay,CBBR,11,Yes,10,11,0,1,No,113.769427,-23.15540535,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swimming,NA,14:00,15:00,NA,Other,Random,Weather,NA,,113.717492,-23.07064568,52,,NA,50,0,None,NA,1968,6030,CoralBay,NA,Male,1m2f2k,5,F,Guided missile,"Family day boating, no fishing today"
114,9/26/2020,8:44:13,Nicole,Exmouth,ExBR,4,Yes,4,4,1,2,Yes,114.1389272,-21.95459621,NA,9/26/2020,Trolling,Lure,16:00,17:00,0,2,0,0,Squid,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.1418187,-21.95905643,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trolling on way back to Exmouth boat ramp from previous site.
115,9/27/2020,8:47:41,Nicole,CoralBay,Bills Bay,7,Yes,3,7,0,0,No,113.771014,-23.14174319,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,08:30,11:00,NA,Access,NA,ActivityChange,NA,,113.7708421,-23.14197579,NA,,NA,0,0,None,NA,1982,6171,CoralBay,NA,Female,1f5k,NA,NA,NA,The kids are also kayaking; left for lunch
116,10/01/20,,Gabby,Bundegi,BunBR,9,No,0,9,0,0,No,114.1710761,-21.83543714,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JetSki,NA,10:00,16:00,NA,Weather,NA,EndOfDay,NA,,114.1711025,-21.83532357,0,,NA,0,0,None,NA,1978,NA,Exmouth,NA,Male,1m,NA,NA,NA,NA
117,9/27/2020,1:48:12,Sam,ExmouthS,ExmouthSouth,180,Yes,20,7,2,2,Yes,114.1378144,-21.95815241,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,Quiet,NA,NA,NA,,114.1379928,-21.95813863,50,,NA,30,0,None,NA,1955,6171,Exmouth,NA,Male,1m,NA,NA,NA,With dog
118,10/04/20,,Gabby,Bundegi,Hunters,8,No,0,8,0,0,No,114.1091362,-21.80499452,NA,10/04/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Mountain biking to the beach to check weather.,10:30,Now,NA,Access,NA,Weather,NA,,114.1094543,-21.80270125,0,,NA,0,0,None,NA,2001,6025,Lighthouse,NA,Female,1f,NA,NA,NA,NA
119,10/02/20,,Gabby,Tantabiddi,OysterStacks,8,No,0,8,0,0,No,113.879171,-22.13123039,NA,10/02/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:00,Havnt,NA,Biodiveristy,NA,NA,NA,,113.8789069,-22.12866115,0,,NA,0,0,None,NA,1982,6027,Exmouth,NA,Female,1f1k,NA,NA,NA,Cant remember # times in 2019
120,9/29/2020,9:21:33,Sam,Bundegi,BunBR,7,Yes,7,0,0,0,No,114.1707599,-21.83589556,NA,9/29/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WindSport,NA,16:00,17:10,NA,Weather,NA,NA,NA,,114.1992215,-21.83295828,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,10/04/20,,Gabby,Tantabiddi,LakesideSnorkling,11,No,0,11,0,1,No,113.9137884,-22.03527567,NA,10/04/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Relaxing,NA,09:00,NA,NA,NaturalSurroundings,NA,NA,NA,,113.9138463,-22.0345917,0,,NA,0,0,None,NA,NA,6210,NManduCamp,NA,Female,2f4k,NA,NA,NA,NA
122,10/02/20,,Sam,Tantabiddi,SandyBay,10,No,0,10,0,0,No,113.8425374,-22.23242617,NA,10/02/20,Casting,Lure,06:00,07:00,1,NA,2,NA,Cod,End of day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,113.8431368,-22.23170066,12,,156,40,40,None,NA,1974,6012,OspreyCamp,NA,Male,1m1f2k,NA,NA,NA,NA
123,9/27/2020,8:04:23,Nicole,CoralBay,Bills Bay,7,No,0,7,0,1,No,113.7695981,-23.1422697,NA,9/27/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,09:50,17:00,NA,Access,NA,NA,NA,,113.7693292,-23.14218869,NA,,NA,0,0,None,NA,1973,6156,NA,NA,Female,1f3k,NA,NA,NA,NA
124,9/27/2020,4:18:12,Nicole,ExmouthS,LearmonthJetty,10,Yes,1,10,0,1,No,114.099182,-22.2121022,NA,9/27/2020,Casting,Lure,12:20,13:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,114.0993522,-22.21183809,10,,NA,35,0,OW,5,1972,6714,NA,NA,Male,1m1f2k,NA,NA,NA,"From Karratha, said notice a big increase in shark depredation, said on average 85% are taken. Interviewed them before the stared fishing. Targeting squid."
125,9/30/2020,9:05:23,Nicole,Bundegi,BunBR,7,Yes,2,7,2,1,No,114.1732727,-21.83078852,NA,9/30/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,13:30,14:30,NA,Other,Shallow kids,ActivityChange,NA,,114.1561374,-21.86577294,20,,NA,35,0,None,NA,1965,NA,NA,NA,Male,2m2f24k,3,F,Soggy nuts,NA
126,10/01/20,,Nicole,Tantabiddi,Turquoise Bay 2,4,No,0,4,0,0,No,113.8871786,-22.09800409,NA,10/01/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Snorkling,NA,09:30,1052 still there,NA,Other,Haven_„Žt been yet,NA,NA,,113.8878469,-22.09795091,0,,NA,0,0,None,NA,1980,6065,Exmouth,NA,Female,1m2f,NA,NA,NA,Kids in water - not sure how many 
127,9/29/2020,8:37:59,Nicole,Bundegi,Wobiri,7,No,0,7,0,0,No,114.0682568,-21.82939322,NA,9/29/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Surfing,NA,15:00,Still there,NA,Surf,NA,NA,NA,,114.0683941,-21.8292809,NA,,NA,0,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
